country	prevalence	n
United States	0.0865456952845235	33231
China	0.03076923076923077	5525
Canada	0.08532061473237944	3774
Germany	0.30819569959488935	3209
Bangladesh	0.03168887288440764	2777
Denmark	0.08158508158508158	2574
Japan	0.051702913418137056	2437
United Kingdom	0.27899159663865547	2380
Sweden	0.09764453961456103	2335
Finland	0.3534932221063608	1918
Italy	0.13333333333333333	1365
Israel	0.13456889605157132	1241
Spain	0.31374172185430466	1208
France	0.0634765625	1024
Austria	0.1723009814612868	917
Thailand	0.019889502762430938	905
Russia	0.08823529411764706	782
New Zealand	0.1988388969521045	689
Cameroon	0.8186440677966101	590
Belgium	0.25359712230215825	556
Mexico	0.32325581395348835	430
Madagascar	0.3493975903614458	415
Tanzania	0.8317073170731707	410
Netherlands	0.2559366754617414	379
Central African Republic	0.6379310344827587	348
Mozambique	0.47266881028938906	311
Taiwan	0.02127659574468085	282
Zimbabwe	0.22419928825622776	281
Colombia	0.5245901639344263	244
Poland	0.25311203319502074	241
India	0.08962264150943396	212
Kenya	0.4549763033175355	211
South Korea	0.028708133971291867	209
Hong Kong SAR China	0	192
Ecuador	0.554945054945055	182
Nigeria	0.6594202898550725	138
Australia	0.11206896551724138	116
Ghana	0.1743119266055046	109
Mali	0.2159090909090909	88
Turkey	0.024691358024691357	81
Kazakhstan	0.2465753424657534	73
Norway	0.208955223880597	67
Sudan	0.26785714285714285	56
Botswana	0.6296296296296297	54
Brazil	0.25	52
Switzerland	0.5384615384615384	52
Azerbaijan	0.4117647058823529	51
Malawi	0.2127659574468085	47
Jordan	0.075	40
Ireland	0.3076923076923077	26
Hungary	0.14285714285714285	7
Portugal	0.2	5
United States Minor Outlying Islands (the)	0	4
Greece	0	3
Croatia	0	2
Malaysia	0	2
Armenia	0	1
Iceland	0	1
Lithuania	0	1
Peru	1	1
Singapore	1	1
Uganda	1	1
United Arab Emirates	0	1
