country	prevalence
Argentina	0.15384615384615385
Australia	0.25133689839572193
Austria	0.39751552795031053
Bangladesh	0.0975609756097561
Brazil	0.2857142857142857
Burkina Faso	0.9388185654008439
Cameroon	0.7192982456140351
Canada	0.20987654320987653
Central African Republic	0.7857142857142857
China	0.08419270432507311
Colombia	0.2559241706161137
Cote d'Ivoire	0.75
Democratic Republic of the Congo	0.859375
Denmark	0.4154351395730706
El Salvador	0.8163265306122449
Ethiopia	0.8
Fiji	0.65
Finland	0.40268456375838924
France	0.3661148977604674
Germany	0.5110732538330494
Ghana	0.8436363636363636
Greece	0
Guinea-Bissau	0.8932038834951457
Honduras	0.806998939554613
Hong Kong	0.0339943342776204
India	0.36893203883495146
Indonesia	0.5
Ireland	0.23426573426573427
Israel	0.367112810707457
Italy	0.2650273224043716
Japan	0.0724494825036964
Kenya	0.7698744769874477
Liberia	0.75
Luxembourg	0.42045454545454547
Madagascar	0.7410714285714286
Malaysia	0.2632850241545894
Mexico	0.3181818181818182
Mongolia	0.26436781609195403
Mozambique	0.5555555555555556
Nepal	0.5714285714285714
Netherlands	0.3389261744966443
New Zealand	0.34104046242774566
Peru	0.26666666666666666
Republic of Congo	0.8148148148148148
Russia	0.4148936170212766
Singapore	0.05714285714285714
South Africa	0.7180616740088106
South Korea	0.10154525386313466
Spain	0.3384301732925586
Sweden	0.5170852202552491
Switzerland	0.48872180451127817
Taiwan	0.04046242774566474
Tanzania	0.7651296829971181
Thailand	0.15037593984962405
United Kingdom	0.25787631271878647
United States	0.1898092693264535
Zimbabwe	0.9714285714285714
