KO,Manual_Label
K10697,*rpaA* (OmpR family response regulator)
K06208,*aroH* (chorismate mutase)
K17246,*chiG* (chitobiose transport system permease protein)
K19003,"*mgdA* (1,2-diacylglycerol 3-beta-glucosyltransferase)"
K09799,*K09799* (uncharacterized protein)
K17244,*chiE* (chitobiose transport system substrate-binding protein)
K13820,*fliR-flhB* (flagellar biosynthesis protein FliR/FlhB)
K14054,*mpaA* (murein peptide amidase A)
K07769,"*nblS, dfr, dspA, hik33* (OmpR family sensor histidine kinase)"
K09007,*folE2* (GTP cyclohydrolase IB)
